N,dim,pattern,selectivity,qualified,qualified_actual,inline_p50_ms,prefilter_p50_ms,inline_p90_ms,prefilter_p90_ms,latency_gain,recall,inline_qps,prefilter_qps,qps_gain,inline_cpu_pct,prefilter_cpu_pct,inline_main_cpu_pct,prefilter_main_cpu_pct,bottleneck,k,data
5000,768,tag,0.001,5,5,2.50703701749444,0.08001504465937614,2.566526993177831,0.08896796498447657,31.332070464584387,1.0,,,,,,,,,10,clustered
5000,768,tag,0.002,10,10,2.3367200046777725,0.0852800440043211,2.492995001375675,0.09137601591646671,27.400548768002185,1.0,,,,,,,,,10,clustered
5000,768,tag,0.004,20,20,1.48969201836735,0.09508896619081497,1.658951980061829,0.09854603558778763,15.6662973428272,1.0,,,,,,,,,10,clustered
5000,768,tag,0.005,25,25,,,,,,,3203.1603022583427,13032.343381569173,4.068589190613066,412.79884936166997,90.28995376796998,9.923049263501682,40.45779349165867,reader-bound,10,clustered
5000,768,tag,0.007,35,35,1.0609229793772101,0.10453700087964535,1.3307309709489346,0.11829903814941645,10.148779575173226,1.0,,,,,,,,,10,clustered
5000,768,tag,0.01,50,50,0.7612489862367511,0.11190306395292282,0.9443300077691674,0.12601097114384174,6.8027537347592695,1.0,,,,,,,,,10,clustered
5000,768,tag,0.02,100,100,0.38488698191940784,0.13723294250667095,0.4638120299205184,0.14147500041872263,2.80462529542204,1.0,11330.043344235855,12955.686611258376,1.1434807632796538,438.70371484105266,144.32424063184186,33.670262538590954,38.91336180858534,reader-bound,10,clustered
5000,768,tag,0.035,175,175,0.3421290311962366,0.16653898637741804,0.4395929863676429,0.17333496361970901,2.0543479856475684,1.0,,,,,,,,,10,clustered
5000,768,tag,0.05,250,250,0.2190780360251665,0.1979609951376915,0.32482692040503025,0.20505592692643404,1.1066727355698889,1.0,,,,,,,,,10,clustered
5000,768,tag,0.07,350,350,0.1961759990081191,0.23497792426496744,0.23882603272795677,0.24554796982556581,0.8348699122344181,1.0,,,,,,,,,10,clustered
5000,768,tag,0.1,500,500,0.15034200623631477,0.297019025310874,0.19025802612304688,0.3067529760301113,0.5061696168417488,1.0,12263.119971448208,12088.763959972812,0.9857820838513084,166.1442241046091,357.03334734723626,38.45474623192733,37.036654289132386,reader-bound,10,clustered
5000,768,text,0.001,5,5,3.467889968305826,0.07897301111370325,3.786858986131847,0.08694897405803204,43.91234320941429,1.0,,,,,,,,,10,clustered
5000,768,text,0.002,10,10,3.1110040144994855,0.08456199429929256,3.3471849747002125,0.08816493209451437,36.789624467566654,1.0,,,,,,,,,10,clustered
5000,768,text,0.004,20,20,1.9065210362896323,0.08870894089341164,2.155769965611398,0.09254494216293097,21.491870121416685,1.0,,,,,,,,,10,clustered
5000,768,text,0.005,25,25,,,,,,,2084.847309606692,13063.913418352435,6.266124793962467,408.1420874896069,77.37708555028227,7.438798678425399,40.90635732913012,reader-bound,10,clustered
5000,768,text,0.007,35,35,1.3499950291588902,0.0923799816519022,1.6605471028015018,0.09615696035325527,14.613501810877361,1.0,,,,,,,,,10,clustered
5000,768,text,0.01,50,50,0.9892770322039723,0.1005479134619236,1.1685480130836368,0.10411604307591915,9.838861873335649,1.0,,,,,,,,,10,clustered
5000,768,text,0.02,100,100,0.47775194980204105,0.11676899157464504,0.6275770720094442,0.12322899419814348,4.091428241003831,1.0,7855.003944572953,13045.564490388146,1.6607966822730074,428.1386911300591,112.92512826682612,24.337350191847907,40.436072130479225,reader-bound,10,clustered
5000,768,text,0.035,175,175,0.4422019701451063,0.14106195885688066,0.5442550173029304,0.15587196685373783,3.1348066745178107,1.0,,,,,,,,,10,clustered
5000,768,text,0.05,250,250,0.25372602976858616,0.16098201740533113,0.379638047888875,0.16568507999181747,1.5761141142226962,1.0,,,,,,,,,10,clustered
5000,768,text,0.07,350,350,0.23441191297024488,0.20529702305793762,0.2864269772544503,0.21349801681935787,1.1418183735868914,1.0,,,,,,,,,10,clustered
5000,768,text,0.1,500,500,0.17173797823488712,0.2753200242295861,0.2230439567938447,0.29164599254727364,0.6237758358312392,1.0,12368.313283996145,12151.783431641943,0.9824931785456649,201.61699707820637,356.6364692947889,39.53274452513851,38.96857686623558,reader-bound,10,clustered
5000,768,text OR text,0.001,5,5,4.079606966115534,0.08215208072215319,4.229958984069526,0.09847700130194426,49.65920437138027,1.0,,,,,,,,,10,clustered
5000,768,text OR text,0.002,10,10,3.748520975932479,0.08832092862576246,3.9982940070331097,0.09054399561136961,42.44204668426762,1.0,,,,,,,,,10,clustered
5000,768,text OR text,0.004,20,20,2.2693700157105923,0.09271595627069473,2.5853089755401015,0.09730097372084856,24.476585336453947,1.0,,,,,,,,,10,clustered
5000,768,text OR text,0.005,25,25,,,,,,,1482.7374914908034,13023.404924939645,8.783351739386717,405.192527704694,84.0092144357494,5.442146281748028,43.48712276674087,reader-bound,10,clustered
5000,768,text OR text,0.007,35,35,1.57009600661695,0.09677803609520197,1.9227060256525874,0.10257307440042496,16.22368121907768,1.0,,,,,,,,,10,clustered
5000,768,text OR text,0.01,50,50,1.1401509400457144,0.10117609053850174,1.3722010189667344,0.11283194180577993,11.268976039470898,1.0,,,,,,,,,10,clustered
